Section;G [kg/m];h [mm];b [mm];tw [mm];tf [mm];r [mm];hi [mm];d [mm];A [cm2];AL [m2/m];AG [ m2/t];Iy [cm4 ];Wel.y [cm3];Wpl.y [cm3];iy [cm];Avz [cm2];Iz [cm4 ];Wel.z [cm3];Wpl.z [cm3]; iz [cm];Ss [cm];It [cm4 ];Iw [10^3 cm6]
IPE AA 80;4.9;78.0;46.0;3.2;4.2;5;69.6;59.6;6.3;0.325;65.66;64.09;16.43;18.85;3.1;2.996;6.85;2.978;4.68;1;1.7;0.383;0.092
IPE A 80;5.0;78.0;46.0;3.3;4.2;5;69.6;59.6;6.4;0.325;64.94;64.37;16.5;18.97;3.1;3.07;6.852;2.979;4.692;1;1.7;0.392;0.092
IPE 80;6.0;80.0;46.0;3.8;5.2;5;69.6;59.6;7.6;0.328;54.67;80.13;20.03;23.21;3.2;3.577;8.489;3.69;5.817;1;2;0.672;0.117
IPE AA 100;6.7;97.6;55.0;3.6;4.5;7;88.6;74.6;8.6;0.396;58.93;135.8;27.84;31.9;3.9;4.402;12.56;4.569;7.234;1.2;2;0.672;0.27
IPE A 100;6.9;98.0;55.0;3.6;4.7;7;88.6;74.6;8.8;0.397;57.6;141.1;28.8;32.98;4;4.437;13.12;4.771;7.537;1.2;2.1;0.726;0.283
IPE 100;8.1;100.0;55.0;4.1;5.7;7;88.6;74.6;10.3;0.400;49.36;171;34.2;39.4;4;5.084;15.91;5.788;9.145;1.2;2.3;1.157;0.351
IPE AA 120;8.4;117.0;64.0;3.8;4.8;7;107.4;93.4;10.7;0.470;56.24;244.1;41.73;47.61;4.7;5.356;21.07;6.586;10.36;1.4;2.1;0.889;0.66
IPE A 120;8.7;117.6;64.0;3.8;5.1;7;107.4;93.4;11.0;0.472;54.51;257.3;43.76;49.87;4.8;5.409;22.38;6.996;10.97;1.4;2.2;0.996;0.705
IPE AA 140;10.1;136.6;73.0;3.8;5.2;7;126.2;112.2;12.8;0.546;54.3;407.4;59.65;67.59;5.6;6.141;33.83;9.268;14.45;1.6;2.2;1.153;1.455
IPE 120;10.4;120.0;64.0;4.4;6.3;7;107.4;93.4;13.2;0.475;45.81;317.7;52.95;60.72;4.9;6.305;27.66;8.646;13.58;1.4;2.5;1.69;0.889
IPE A 140;10.5;137.4;73.0;3.8;5.6;7;126.2;112.2;13.4;0.547;52.03;434.8;63.29;71.59;5.6;6.213;36.42;9.979;15.52;1.6;2.3;1.338;1.576
IPE AA 160;12.3;156.4;82.0;4.0;5.6;9;145.2;127.2;15.7;0.617;50.1;659;84.28;95.23;6.4;7.735;51.66;12.6;19.68;1.8;2.5;1.749;2.925
IPE A 160;12.7;157.0;82.0;4.0;5.9;9;145.2;127.2;16.2;0.619;48.74;689.2;87.8;99.09;6.5;7.801;54.42;13.27;20.69;1.8;2.6;1.934;3.094
IPE 140;12.9;140.0;73.0;4.7;6.9;7;126.2;112.2;16.4;0.551;42.73;541.2;77.31;88.34;5.7;7.642;44.91;12.3;19.24;1.6;2.6;2.399;1.981
IPE AA 180;14.9;176.4;91.0;4.3;6.2;9;164.0;146.0;19.0;0.693;46.39;1020;115.6;130.5;7.3;9.129;78.11;17.16;26.71;2;2.7;2.431;5.639
IPE A 180;15.4;177.0;91.0;4.3;6.5;9;164.0;146.0;19.6;0.694;45.16;1062;120;135.3;7.3;9.196;81.88;17.99;27.96;2;2.7;2.673;5.933
IPE 160;15.8;160.0;82.0;5.0;7.4;9;145.2;127.2;20.1;0.623;39.5;869.2;108.6;123.8;6.5;9.657;68.31;16.66;26.09;1.8;3;3.54;3.958
IPE AA 200;18.0;196.4;100.0;4.5;6.7;12;183.0;159.0;22.9;0.763;42.5;1533;156.1;175.7;8.1;11.38;112.1;22.43;35.03;2.2;3.1;3.808;10.04
IPE A 200;18.4;197.0;100.0;4.5;7.0;12;183.0;159.0;23.5;0.764;41.47;1591;161.5;181.6;8.2;11.46;117.1;23.43;36.53;2.2;3.2;4.135;10.52
IPE 180;18.8;180.0;91.0;5.3;8.0;9;164.0;146.0;23.9;0.698;37.13;1316;146.3;166.4;7.4;11.25;100.8;22.16;34.59;2;3.1;4.726;7.431
IPE AA 220;21.2;216.4;110.0;4.7;7.4;12;201.6;177.6;27.0;0.843;39.79;2218;205;230;9;12.83;164.7;29.94;46.5;2.4;3.3;5.056;17.92
IPE O 180;21.3;182.0;92.0;6.0;9.0;9;164.0;146.0;27.1;0.705;33.15;1505;165.4;189.1;7.4;12.69;117.2;25.49;39.91;2;3.4;6.647;8.739
IPE A 220;22.2;217.0;110.0;5.0;7.7;12;201.6;177.6;28.3;0.843;38.01;2316;213.5;240.2;9;13.54;171.4;31.16;48.48;2.4;3.4;5.679;18.7
IPE 200;22.4;200.0;100.0;5.6;8.5;12;183.0;159.0;28.5;0.768;34.35;1943;194.3;220.6;8.2;14;142.3;28.47;44.61;2.2;3.6;6.915;12.98
IPE AA 240;24.9;236.4;120.0;4.8;8.0;15;220.4;190.4;31.7;0.917;36.84;3153;266.8;298.1;9.9;15.29;231.3;38.56;59.98;2.7;3.8;7.608;30.04
IPE O 200;25.1;202.0;102.0;6.2;9.5;12;183.0;159.0;32.0;0.779;31.05;2211;218.9;249.4;8.3;15.45;168.8;33.11;51.89;2.2;3.9;9.357;15.56
IPE 220;26.2;220.0;110.0;5.9;9.2;12;201.6;177.6;33.4;0.848;32.37;2771;251.9;285.4;9.1;15.88;204.8;37.25;58.11;2.4;3.8;9.03;22.67
IPE A 240;26.2;237.0;120.0;5.2;8.3;15;220.4;190.4;33.3;0.918;35.11;3290;277.6;311.5;9.9;16.31;240.1;40.02;62.39;2.6;3.9;8.503;31.25
IPE O 220;29.4;222.0;112.0;6.6;10.2;12;201.6;177.6;37.4;0.858;29.23;3134;282.3;321.1;9.1;17.66;239.8;42.82;66.9;2.5;4.1;12.16;26.78
IPE 240;30.7;240.0;120.0;6.2;9.8;15;220.4;190.4;39.1;0.922;30.03;3891;324.3;366.6;9.9;19.14;283.6;47.27;73.92;2.6;4.3;12.95;37.39
IPE A 270;30.7;267.0;135.0;5.5;8.7;15;249.6;219.6;39.2;1.037;33.74;4917;368.3;412.4;11.2;18.74;357.9;53.03;82.34;3;4;10.41;59.5
IPE O 240;34.3;242.0;122.0;7.0;10.8;15;220.4;190.4;43.7;0.932;27.16;4369;361;410.2;9.9;21.35;328.5;53.85;84.39;2.7;4.6;17.09;43.67
IPE 270;36.1;270.0;135.0;6.6;10.2;15;249.6;219.6;45.9;1.041;28.86;5789;428.8;483.9;11.2;22.13;419.8;62.2;96.95;3;4.4;15.9;70.57
IPE A 300;36.5;297.0;150.0;6.1;9.2;15;278.6;248.6;46.5;1.156;31.65;7173;483;541.7;12.4;22.24;518.9;69.19;107.3;3.3;4.2;13.34;107.1
IPE 300;42.2;300.0;150.0;7.1;10.7;15;278.6;248.6;53.8;1.160;27.46;8356;557;628.3;12.4;25.68;603.7;80.5;125.2;3.3;4.6;19.91;125.9
IPE O 270;42.3;274.0;136.0;7.5;12.2;15;249.6;219.6;53.8;1.051;24.87;6947;507;574.6;11.3;25.22;513.4;75.51;117.7;3;4.9;24.98;87.64
IPE A 330;43.0;327.0;160.0;6.5;10.0;18;307.0;271.0;54.7;1.250;29.09;10230;625.7;701.9;13.6;26.98;685.1;85.64;133.2;3.5;4.7;19.63;171.5
IPE AA 360;47.0;356.4;170.0;6.0;10.9;18;334.6;298.6;59.9;1.350;28.7;13670;767.5;853.5;15.1;27.43;894.8;105.2;162.4;3.8;4.8;23.37;266.3
IPE 330;49.1;330.0;160.0;7.5;11.5;18;307.0;271.0;62.6;1.254;25.52;11760;713.1;804.3;13.7;30.8;788.1;98.51;153.6;3.5;5.1;28.06;199
