WLL;a;b;c;d;e;f;g;h;i;j;m
0.33;5.0;6.0;12.0;5.0;9.5;22.0;16.0;36.0;29.5;26.0;0.02
0.50;7.0;8.0;16.5;7.0;12.0;29.0;20.0;48.5;38.0;34.0;0.05
0.75;9.0;10.0;20.0;9.0;13.5;32.0;22.0;56.0;46.5;40.0;0.10
1.00;10.0;11.0;22.5;10.0;17.0;36.5;26.0;63.5;54.0;46.0;0.14
1.50;11.0;13.0;26.5;11.0;19.0;43.0;29.0;74.0;59.5;51.0;0.19
2.00;13.5;16.0;34.0;13.0;22.0;51.0;32.0;89.0;73.0;58.0;0.36
3.25;16.0;19.0;40.0;16.0;27.0;64.0;43.0;110.0;89.0;75.0;0.63
4.75;19.0;22.0;46.0;19.0;31.0;76.0;51.0;129.0;103.0;89.0;1.01
6.50;22.0;25.0;52.0;22.0;36.0;83.0;58.0;144.0;119.0;102.0;1.50
8.50;25.0;28.0;59.0;25.0;43.0;95.0;68.0;164.0;137.0;118.0;2.21
9.50;28.0;32.0;66.0;28.0;47.0;108.0;75.0;185.0;153.0;131.0;3.16
12.00;32.0;35.0;72.0;32.0;51.0;115.0;83.0;201.0;170.0;147.0;4.31
13.50;35.0;38.0;80.0;35.0;57.0;133.0;92.0;227.0;186.0;162.0;5.55
17.00;38.0;42.0;88.0;38.0;60.0;146.0;99.0;249.0;203.0;175.0;7.43
25.00;45.0;50.0;103.0;45.0;74.0;178.0;126.0;300.0;243.0;216.0;12.84
35.00;50.0;57.0;111.0;50.0;83.0;197.0;138.0;331.0;272.0;238.0;18.15
42.50;57.0;65.0;130.0;57.0;95.0;222.0;160.0;377.0;310.0;274.0;26.29
55.00;65.0;70.0;145.0;65.0;105.0;260.0;180.0;433.0;344.0;310.0;37.60
